Rude/Agressive_C,Emotive_C,Perceptive_C,Social_C,Friendly_C,Negative_C,Positive_C,Confrontational_C,Indecisive_C,Selfish_C,Rude/Agressive_I,Emotive_I,Perceptive_I,Social_I,Friendly_I,Negative_I,Positive_I,Confrontational_I,Indecisive_I,Selfish_I
1,5,5,11,0,1,5,34,20,16,3,3,5,9,0,3,1,29,10,31
0,3,5,10,0,1,3,39,15,17,1,3,4,8,0,1,2,20,12,43
1,3,9,12,0,2,2,34,14,18,3,3,6,7,1,3,1,31,9,31
2,2,10,10,0,2,2,39,13,15,2,2,19,5,0,1,1,16,6,42
2,4,4,10,0,0,6,48,16,7,1,2,4,12,0,1,2,27,11,34
0,2,3,5,0,1,1,32,8,41,1,3,4,6,0,1,2,36,9,32
2,5,5,12,0,2,4,42,12,11,0,1,3,9,0,1,1,21,7,51
1,4,6,6,0,2,3,35,17,22,1,2,3,7,0,1,1,31,12,35
0,0,7,9,1,0,0,50,11,17,0,1,5,7,0,1,1,38,14,27
4,4,4,12,2,4,7,28,20,9,1,3,4,7,1,1,2,35,10,30
2,4,5,11,1,2,2,38,10,21,2,3,3,8,0,1,2,24,8,45
0,2,5,7,1,0,4,51,10,15,0,1,3,6,1,0,1,29,7,47
1,2,10,8,0,1,2,30,16,24,1,2,4,7,1,1,2,31,9,37
2,3,7,7,0,2,2,38,16,19,2,3,6,7,0,2,1,40,8,26
4,3,9,7,0,6,2,30,15,18,0,2,3,9,0,2,1,28,13,36
3,3,9,6,0,3,2,34,18,17,1,2,2,6,0,1,1,22,7,53
4,4,6,9,2,4,3,36,19,8,2,2,5,10,2,2,1,25,12,34
2,3,11,13,0,3,2,30,11,19,1,2,4,11,1,1,2,19,7,46
4,6,6,9,1,5,4,25,13,23,1,2,3,9,1,1,1,41,9,27
4,3,7,11,0,3,3,31,17,15,1,3,4,8,0,2,3,27,11,38
3,4,13,20,0,4,2,4,29,14,0,0,0,0,0,0,0,0,0,0
3,4,6,12,0,3,2,25,13,26,2,3,5,8,0,2,1,38,13,23
0,3,6,10,0,0,3,42,19,13,1,4,4,10,1,1,4,31,8,30
1,5,5,12,0,3,4,18,18,30,1,2,4,7,0,1,2,42,10,26
1,2,8,8,0,2,3,42,15,16,0,3,6,7,0,0,2,21,6,49
